@relation foodfacts
@attribute vitamin-c_100g numeric
@attribute sodium_100g numeric
@attribute salt_100g numeric
@attribute proteins_100g numeric
@attribute fiber_100g numeric
@attribute sugars_100g numeric
@attribute carbohydrates_100g numeric
@attribute saturated-fat_100g numeric
@attribute fat_100g numeric
@attribute energy_100g numeric
@attribute nutrition-score-fr_100g {bad, medium, good}
@data
0,0.422,1.07,21.9,6.25,9.38,25,7.81,50,2480,good
0,0.242,0.616,21.2,6.06,9.09,24.2,9.09,48.5,2410,good
0,0.328,0.833,25,6.25,3.12,18.8,7.81,50,2620,good
0,0,0,3,2,1,3,0.5,8,418,bad
0,2.55,6.48,13.3,3.33,3.33,65,6.67,18.3,2020,good
0,0.318,0.807,10.6,3.53,7.06,52.9,0,1.18,1080,bad
0.001,0.3,0.762,2.08,0.417,5,6.67,0.625,0.833,192,medium
0,0.15,0.381,1,1,17,19,0,3,0,medium
0,0.786,2,28.6,0,0,0,17.9,28.6,1490,good
0,0.25,0.635,2,1,7,29,0,0.5,544,medium
0.0375,1,2.54,16.1,0,0,1.79,6.25,19.6,1050,good
0,0.21,0.533,1.82,1.82,0,1.82,0,0,60.9,bad
0,0.82,2.08,12,0,0,4,4,10,670,good
0.0024,0.98,2.49,12,0,0,4,12,26,1260,good
0,0,0,8.51,0,0,78.7,0,0,1510,bad
0.001,0.0542,0.138,4.17,0,5.42,5.42,1.25,2.08,227,medium
0,0.248,0.63,11.2,0,4,5.6,1.2,1.6,334,bad
0,0.045,0.1143,3,0,13,16,1,1.5,377,medium
0,0.055,0.1397,3,0,12,15,1,1.5,377,medium
0,0.0583,0.148,3.33,0,11.7,13.3,1.67,2.5,348,medium
0.00179,0.254,0.644,5.97,5.97,11.9,43.3,0,5.97,937,bad
0.001,0.312,0.794,2.08,0.417,4.17,6.67,0.625,0.833,174,medium
0,0.14,0.356,12,0,0,0,3,10,586,bad
0,0.288,0.733,5.77,1.92,34.6,76.9,3.85,8.65,1690,good
0,0.25,0.635,5.77,1.92,34.6,73.1,5.77,9.62,1690,good
0,0.179,0.454,7.14,3.57,21.4,64.3,3.57,16.1,1790,medium
0,0.3,0.762,6.67,6.67,30,86.7,1,3.33,1530,medium
